start,end,text
0,9360," Pam Bondi said it's on her desk, right next to truth and"
9360,10760," civil unrest."
10760,14300," One day it's there, the next group vanished like ethics in"
14300,15300," a voting booth."
15300,18650," Promises made from the podium high, now they gaslight with"
18650,20260," a straight up lie, said we'll"
20260,21260," drain the swamp."
21260,24550," Yeah sure you did, just made a list and buried it with the"
24550,25120," kids."
25120,29180," The list, that doesn't exist, kids burn while they shake"
29180,30280," their fists."
30280,34790," The list, that never so like, buried deep in a billionaire"
34790,36560,"'s flight, they string bakers"
36560,39520," and twist the plot, but the names on the list sure remember"
39520,40360," a lot."
40360,45760," It's the list, shh, the list, shh, the list that doesn't"
45760,46160," exist."
46160,49880," Reporter asked, they start to sweat, drew the yelling and"
49880,51840," the press reset, that's fake,"
51840,54750," that's false, that's Sorrow's trap, how justice drowns in"
54750,56600," private jets and cash, their fingers"
56600,59960," all smell like kerosene, while they gas up the memory"
59960,61820," machine, rewrite the script with"
61820,66000," the Sharpie pen, while Epstein's ghost just laughs and gets"
66000,67000," a list."
67000,70850," That doesn't exist, got filed with the other drifts, the"
70850,72480," list that slipped through the"
72480,75950," cracks now sits on a yacht with knives in bay, hoax and"
75950,78320," witch hunt, same old spin, while"
78320,82340," victims wake, thought true to begin, it's the list, the"
82340,84440," list, the list that doesn't"
84440,85440," exist."
85440,88120," Sir, do you know who's on the list?"
88120,92120," I don't know, I've never seen a list, there may be a list,"
92120,94040," it might not be real, what"
94040,95640," even is a list?"
95640,107480," Is it even legal?"
107480,111400," Slash mof pop, the crowd goes numb, another scandal, here"
111400,113360," it comes, but don't you dare"
113360,122040," try to insist, that there's anything real on that damn list"
122040,124760,", the list that doesn't exist"
124760,128830," stays sealed, with the perverts kiss, the list that we'll"
128830,130960," never see, because the truth"
130960,134720," they made in DC, oh scream it loud, don't let them win,"
134720,136840," they hid the list, in all their"
136840,142040," sins, it's the list, the list, the list that doesn't exist."
