start,end,text
0,6160," Woke up on Din, checked the board again 10,000 rolls, but"
6160,7300," none from Mortal Men"
7300,12120," Watch star death, muscle stress 50 skills required, zero"
12120,12620," checks"
12620,16010," I built a cloud before it had a name Now I'm throwing side"
16010,16980," quests in a browser"
16980,20260," game 404, career not found"
20260,23580," Ghosted by a startup that that shut him down Talent in,"
23580,25280," well it gets a damn disgrace"
25280,33400," While billionaires current cash into space"
33400,37420," Zoom interviews with kids half my age Asking me if I scale"
37420,38700," while underage"
38700,42020," Die more uptime than their whole stat But I'm still"
42020,43040," refreshing greenhouse back"
43040,46160," to back I could lead your team or ride your car"
46160,48900," Instead I'm damn debugging myself for its score"
48900,53720," 404, career not found Laid off, paid off, now I'm burnout"
53720,54160," bound"
54160,63350," Decades of wisdom sit on ice While the CEO's yacht hits"
63350,65060," paradise"
65060,68650," Must be willing to work for free You know what, I should go"
68650,69660," nap for a beat"
69660,73890," 10 years go, 10 years rust To the Kit-Pok reel, oh you're"
73890,74380," not one of"
74380,77660," us 404, career not found"
77660,81680," Tech's got talent but it ain't sticking round Idol minds,"
81680,82880," idol hands"
82880,90760," Pindalanda, open office scams Another day, been eating pay"
90760,92220," Reboot my dignity"
