start	end	text
31	28232	Woke up on din, checked the board again 10,000 rolls, but none for mortal men Rockstar death, muscle stress 50 skills required, zero checks I built a cloud before it had a name Now I'm throwing side quests in a browser game 404, career not found Ghosted by a startup that that shut him down Talent in bulk, it's a damn disgrace While billionaires current cash into space
33393	38540	Zoom interviews with kids half my age, asking me if I scale while underage.
38761	43828	Dime more uptime than their whole stack, but I'm still refreshing greenhouse back to back.
43848	48755	I could lead your team or ride your car, instead I'm damned to bugging myself for its score.
49035	53842	Far up far, career not found, laid off, paid off, now I'm burnout bound.
54222	59029	Decades of wisdom sit on ice, while the CEO's yacht hits paradise.
64983	66926	Must be willing to work for free.
67266	69609	No luck, pass should go on app or beat.
69709	72273	Ten years go, ten years rust.
72293	74836	To the kid thought real, oh you don't want a lot.
75077	77460	404, career not found.
77700	80083	Ted's got talent but it ain't sticking round.
80464	82667	Idle minds, idle hands.
83088	85270	In the land of open office scams.
85511	87994	Another day, penny in pay.
90698	92340	Reboot my dignity.
