start	end	text
45053	49802	Scrolling through the curative lies, filter truth with pixel eyes.
50182	54551	Echo chamber serenade, AI knows just what you hate.
54851	59600	No debate, just clickbait rage, truth imprisoned in a data cage.
59620	64389	Facts are optional outbreak cells, welcome to our algorithmic hell.
64429	66673	We're lost in algorithm nation.
66653	68957	No free thought, just automation.
69157	71360	Scroll and swipe, no deviation.
71621	73944	Done by design, by recommendation.
74044	76208	Feed decides who we should blame.
76628	78571	AI profits playing the game.
78852	81035	No nuance here, just black or white.
81055	83880	Your thoughts are at least not yours by right.
83900	85782	Upvotes fuel your dopamine.
86043	88186	Disagree, you're off the screen.
88447	90670	Fake news tattooed on your soul.
90650	102955	Sold your mind for hearts and scrolls We're trapped in algorithm nation Mind controlled by personalization Watch us march to simulation Truth deleted by corporation
112351	140080	Terms of service didn't read Signed your brain to the data feed It's not surveillance, it's just your taste Until your vote and mine are replaced Screaming from algorithm nation Click to agree to your sedation One like closer to damnation AI smiles with no salvation Feed me lies Optimize
