start,end,text
0,6000," [ Silence ]"
6000,12040," >> Morning bell rings, lock and load, tiny backpacks,"
12040,17840," trauma mode, metal detectors, greet the day,"
17840,24080," bulletproof smiles, just to pray they say it's freedom,"
24080,30120," loud and proud while silence echoes through the crowd,"
30120,33720," thoughts and prayers in bullet form,"
33720,41040," this is the American uniform, no child left unarmed,"
41040,48120," that's the plan, training kids to take a stand,"
48120,56080," pencilbox and Tepper's brain in the lead of the NRA."
56080,62200," [ Silence ]"
62200,66520," No child left unarmed, what a joke,"
66520,70600," dump can cover when the system's broke,"
70600,74320," armed with fear and classroom drills,"
74320,79240," we raise our kids for battlefields."
79240,95040," [ Silence ]"
95040,99040," Active shooter lesson three, alongside math and history,"
99040,100920," tiny hands now clutching steel,"
100920,103880," this ain't just a brand new deal, lobby cash"
103880,107160," and blood stained ties, feed the lie that never dies,"
107160,109120," rights for guns but not for youth,"
109120,113840," another corpse, another truth, no child left unarmed,"
113840,117680," say it loud, marching blindly with the crowd, bullet points"
117680,121000," and lesson plans, brought to you by gunslinging plans,"
121000,122920," no child left unarmed to say peace,"
122920,125200," it's a cycle that will never cease,"
125200,128200," prayers on paper stained in red, more statistics,"
128200,131240," more kids dead, on the teachers, they all cheer,"
131240,134240," we want fun books year after year, hallway heroes,"
134240,138560," chalk outline fake, America you educate with page."
138560,140800," No child left unarmed, make it trend,"
140800,144000," another life, another end, we chant and cry,"
144000,147120," but nothing's done except another AR in the sun,"
147120,149240," no child left unarmed, what a shame,"
149240,151240," safety's sold out to the game,"
151240,153560," if freedom's just a smoke and gun,"
153560,155040," then tell me who the hell has --"
