start	end	text
6022	9325	Morning bell rings, lock and load.
10126	13410	Tiny backpacks, trauma mode.
13930	17314	Metal detectors greet the day.
17914	21498	Bulletproof smiles, just to pray.
21558	29987	They say it's freedom, loud and proud, while silence echoes through the crowd.
29967	33551	Thoughts and prayers in bullet form.
33831	37715	This is the American uniform.
37735	39717	No child left unarmed.
41199	42861	That's the plan.
44202	46925	Training kids to take a stand.
48246	51149	Pencil box and dapper spray.
52471	55654	In the lead of the NRA.
62215	65823	No child left unarmed, what a joke.
66685	70895	Duck and cover when the systems broke.
70915	78874	Armed with fear and classroom drills, we raise our kids for battlefields.
95105	98831	Active shooter, lesson three, alongside math and history.
99132	102918	Tiny hands now clutching steel, the safety's just a brand new deal.
103139	107045	Lobby cash and bloodstained ties, feed the lie that never dies.
107266	109049	Rights for guns, but not for youth.
109249	112675	Another corpse, another truth.
112655	137532	No child left unarmed, say it loud Marching blindly with the crowd Bullet points and lesson plans Brought to you by gun-slinging clans No child left unarmed, this ain't peace It's a cycle that will never cease Players on paper stained in red More statistics, more kids dead On the teachers, they all cheer We'll want fun books year after year Hallway heroes, chalk out my fate America, you educate with fate
138625	155115	No child's left unarmed, make it trend Another life, another end We'd chant and cry, but nothing's done Except another AR in the sun No child's left unarmed, what a shame Safety's sold out to the game If freedom's just a smoking gun Then tell me who the hell has
