start,end,text
0,12400," MARTED STREETS RIDDLED WITH FODIES THAT SWEIGH LOST IN A HA"
12400,15320,"ZE BUT THEY'RE NOT FAR AWAY"
15320,21810," EYES GLAZED OPEN MEMORIES ERASED STANDING IN SILENCE STUCK"
21810,23120," IN DISGRACE"
23120,31540," FOSS BITTEN FINGERS GRIPPED IN EMPTY DREAMS REALITY BERRIES"
31540,36320," THEM UNDER ROUTINE"
36320,40260," STATUES ON THE SIDEWALKED GAY DON'T MOVE OR TWEAK"
40260,45500," FOZEN IN THE MOMENT CAUGHT ON THE BREAK TIME'S MOVING PAST"
45500,46560," THEM BUT THEY'RE STUCK"
46560,54360," IN QUACE CONCRETE CONFESSION ON EVERY WASTE'S FACE"
54360,68200," STAND SO STILL CHILLS AND BRILF"
68200,74780," SIRENS PAST FIVE BUT NOBODY STIRS NEEDLES IN HAND AND NOT"
74780,76280," BEING DETERS"
76280,81590," DREAMS BROKEN DOWN WHERE THE PAVEMENT'S CRACKED SHADOWS AL"
81590,87240,"IVE BUTTHOLDS WHAT THEY LACK"
87240,95510," SUNRISE SHITS EYES THAT NEVER SEE TRAPPED IN A LOOP ON ELL"
95510,97360,"IS STREETS"
97360,101240," STATUES ON THE SIDEWALKED GAY DON'T MOVE OR BREAK"
101240,105640," FOZEN IN THE MOMENT CAUGHT ON THE BREAK TIME'S MOVING PAST"
105640,107560," THEM BUT THEY'RE STUCK"
107560,113320," IN QUACE CONCRETE CONFESSION ON EVERY WASTE'S FACE"
113320,119240," OH STAND SO STILL CHILLS AND BRILF"
