start	end	text
7220	34459	Marted streets riddled with bodies that sway Lost in a haze, but they're not far away Eyes glazed open, memories erased Standing in silence, stuck in disgrace Frostbitten fingers gripping empty dreams Reality buries them under routine
36160	39746	Statues on the side while gay don't move or tweak.
40287	44555	Frozen in the moment, caught on the break.
44575	47721	Time's moving past them, but they're stuck in place.
48602	53952	Concrete confession on every wasted face.
53972	55835	Oh, oh, stand so still.
57999	60143	Oh, chills and brilf.
68155	72600	Sirens pass by, but nobody stirs.
72620	76304	Needles in hand and not being deters.
76324	80548	Dreams broken down where the pavement's cracked.
80569	87296	Shadows alive, but hope is what they lack.
87316	89919	Sunrise, it's eyes that never see.
89959	94804	Trapped in a loop on Ellis Street.
97214	100718	Statues on the side, but they don't move or break.
101319	104703	Frozen in the moment, caught on the brink.
105584	109589	Time's looming past them, but they're stuck in place.
109609	112832	Concrete confession on every waste bit base.
114334	116837	Oh, oh, stand so still.
117998	119340	Oh, chills and pain.
