start	end	text
47298	50544	Chopped a glass and hit the tile, well not proud, now you're on trial.
50564	53649	Painful and sick and to make the best, an hour later still in distress.
53809	56854	Ironing a wrinkled set of teeth, now the crease is mine to keep.
56874	60040	Spilled the paint, missed the time, flips the capsule and stabbed the guy.
60060	63927	It's always harder to fix than it was to break, well don't move it's ten hours late.
63947	65690	Stabbed your fingers, oops you flew it.
66371	71179	Now you've stopped with booing with everyone, screw it twice, well for the cost of bad advice.
75125	78130	Take one line, crash the site, get Baudel through half the night.
78330	81475	Throw the tag off, no return, now your wallet gets to burn.
81495	84580	Cut the wire you should've cut, full house smells like a rut.
84600	87705	You bleeped once and nuked a vibe, now you owe beers to the whole tribe.
87725	92072	It's always R.M.Fix, then it was too late, the signal slipped, now you're on all day eggs.
92092	93754	Snap the scissors and fight for joys.
94075	96238	Hope you like patching, metaphorical, all is at once.
96418	99343	Wrecking fast, good luck cleaning up your past.
111170	122581	It's always harder to fix.
122721	125784	Too much to break and break from the icing on your tongue.
125804	128447	But stand it slow, break it quick, rougher than a human strip.
128707	130208	That's hurt twice, but ends rich.
130228	135073	Cut it wrong, and now it's flesh.
135093	136374	One slit, ten steps back.
136394	138156	That's universal, one glob back.
