start,end,text
0,5440," lights go down to the stage another save you another cage"
5440,6540," promises in bold"
6540,10770," deadlines fade to black by deadline time said they'd fix"
10770,12000," the writ in the warts"
12000,15980," drain the swap and dream of forts but the only thing that"
15980,17520," ever drains is rope"
17520,20720," throwing down the campaign drains Brits of the Union bacon"
20720,22480," switch every speech"
22480,26580," another blitz they said the church was on their desk turns"
26580,27540," out it was just a"
27540,31520," press request hey wait wait that flag while they stuffed"
31520,32680," your rights in a body"
32680,36960," bag Epstein files must have lost them to be on the go bag"
36960,38200," and Mary love of bottom"
38200,41720," bricks the economy more like fixer books smoke and mirrors"
41720,43000," photo ops dirty looks"
43000,46200," student debt stoops change of that health care just a"
46200,47700," bureaucratic trap and"
47700,51600," every time they swear next herb they need next whether we"
51600,53080," all learn crit W"
53080,57760," Union smiling con red or blue same damn bond shake your"
57760,59000," hand then rob you check"
59000,63110," kiss your baby then break your neck we the people they say"
63110,64200," with flair while"
64200,67370," watching your lungs for billionaire dare a chicken every"
67370,68640," pot lady if you invest"
68640,71990," in the mobius portfolio and wear a bullet through fat so"
71990,72880," the Union let it"
72880,77720," spin every boats about you won't win hope for sale freedoms"
77720,78800," least another"
78800,82160," term another feast"
83080,85160," you"
85160,89240," hey hey democracy play scaring wires in suits with nothing"
89240,89660," to say"
89660,95100," grip W Union lights go black curtain drops they'll never"
95100,96200," give it back"
