start	end	text
740	29125	Lights go down to the stage Another savior, another cage Promises in bold headlines Fade to black by deadline time Said they'd fix the red in the wards Drain the swamp and dream of forts But the only thing that ever drains Is rope flowing down the campaign drains Brits of the union, bait and switch Every speech, another glitch They said the church was on their desk Turns out it was just a press request Hey!
29285	29886	Hey!
29866	33354	Wave, wave that flag while they stuffed your rights in a body bag.
33936	38306	Epstein files must have lost them, tucked behind a gold bag in Merrill at the bottom.
38506	40992	Fix the economy, more like fix the books.
41012	43137	Smoking mirrors, photo ops, dirty looks.
43378	45563	Student Epstein, shame to that.
45543	52235	Healthcare's just a bureaucratic trap, and every time they swear next term, they mean next flood that we all learn.
52656	56923	CryptoB Union, smiling con, red or blue, same damn bond.
57484	59187	Shake your hand, then rob your check.
59769	62133	Kiss your baby, then break your neck.
62153	66741	We the people, they say with flair, while auctioning your loans for billionaire air.
66721	71646	A chicken in every pot, matey, if you invest in the Mobius portfolio and wear a bulletproof vest.
71666	73308	This is the union, let it spin.
73928	75630	Every vote's a bet you won't win.
76251	78613	Hopes for sale, freedoms leased.
78633	85460	Another germ, another feast.
85480	85761	Hey!
85941	86261	Hey!
86501	89845	Democracy play, scaring wires in suits with nothing to say.
90345	92207	Grift of the union, lights go black.
92227	94990	Curtain drops, they'll never give it back.
