start	end	text
5448	26410	Broken records, spinning fast, headlines never fade Deport a dream in silence, trade hope for a barricade Courts are closed for business, justice out of stock Tear the welcome banner down, keep the future locked
27419	38323	Look at what we've come to now Promises are hollowed out Building walls around our pride Trading truth for dollar sights
49441	52044	Just us for all, or none at all.
52505	55108	Watch the borders rise, see the conscience fall.
55288	57651	Break, restore, break tonight.
57991	60714	Spreading the will, till the truth is died.
61535	64699	Oaths and walls ringing out.
72508	76933	Sign away the future, digits on a list.
77892	82881	Deport a hundred thousand, justice doesn't exist.
82901	87570	Students speak and lose it all, voices on mute.
88552	93100	Freedom's just a slogan if you're not in the suit.
94430	104866	Robber stamps for the chosen few Blind eyes and I'm let it through From worlds watching while we stall But who's left to make the call?
105307	107871	Just us for all, or none at all?
108331	120370	Watch the borders rise, seeing the conscience fall Papers torn, right denied Spin the wheel, till the truth is dined Oaths and walls ringing out
121362	124552	Waaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
