start,end,text
0,1800," Friday night bailout packs"
1800,3800," Matching skirts and bubble attacks"
3800,5520," Shots lined up like a firing squad"
5520,7640," Steering like it's a gift from God"
7640,9640," Selfie sticks and broken heels"
9640,11560," Twerking to songs they don't even feel"
11560,13760," Hair extensions, mobile fry"
13760,15680," Echoes like a battle cry"
15680,17600," Blue girls, break the sound"
17600,19520," Every bar becomes battleground"
19520,21560," Raise a glass and raise your pitch every"
21560,23400," Another glitch"
23400,25160," In the matrix of your brain"
25160,27280," Guessables of drunk disdain"
27280,28760," Blue girls, breathe for fame"
28760,30960," But no one here remembers your name"
30960,32880," One just cried, no one knows why"
32880,34840," Another's making out with some finance guy"
34840,36800," They laugh at memes from 2012"
36800,38760," And call it slay, just kill me now"
38760,40760," Shots for brunch and brunch for clout"
40760,42760," More nags now scream and shout"
42760,44600," But they stash his glitter bobs"
44600,46800," When the list is mixed with bottle bonds"
46800,48720," Blue girls, break the sound"
48720,50680," Every bar becomes battleground"
50680,52720," Raise a glass and raise your pitch every"
52720,54520," Another glitch"
54520,56280," In the logic of the night"
56280,58360," Every cheer just kills the vibe"
58360,61080," Blue girls, dance and scream like chaos"
61080,64040," In a forever 21 dream"
64040,67400," Who will have soup up in my sheets?"
67400,69600," Ooh, the last night just tapped me in the open"
69600,71760," I'm bashing at me, come on, cheers, sweet boy"
71760,73840," Blue girls, queen to cringe"
73840,75600," Makes my eardrums sing"
75600,77600," Fart out from attention short"
77600,79600," I'll ride in a jukebox court"
79600,81560," Blue girls, couple send"
81560,83200," 'Til the hangover makes amends"
83200,85120," Blue girls, you rule the scene"
85120,88320," With a scream that haunts my punk rock dreams"
88320,90880," I'll ride in a jukebox court"
90880,93600," Blue girls, come on, cheers, sweet boy"
93600,96280," Blue girls, come on, cheers, sweet boy"
