start	end	text
31	6299	Friday night bailout packs Matching skirts and bubble attacks Shots lined up like a firing squad Screaming, woo!
6319	23119	Like it's a gift from God Selfie sticks and broken heels Twerking to songs they don't even feel Hair extensions, vulva fry Echoes like a battle cry Woo girls, break the sound Every bar becomes battleground Raise your glass and raise your bitch Every... another glitch
23453	27022	In the matrix of your brain, guessables of drunk disdain.
27523	30852	Blue girl, three for fame, but no one here remembers your name.
31253	32796	One just cried, no one knows why.
33037	34781	Another's making out with some finance guy.
34942	36826	They laugh at me, it's from 2012.
36947	38751	And college slay, just kill me now.
38972	41057	Shots for brunch and brunch for clout.
41037	46886	Mortnags now scream and shout, birthday sashes, glitter bombs, monthlesses mixed with photobombs.
46906	50312	Woo girls, break the sound, every bar becomes battleground.
50793	53677	Raise a glass and raise your pitch, every another glitch.
54699	58144	In the logic of the night, every cheer just chills the vibe.
58485	63653	Woo girls, dance and scream like chaos in a forever 21 dream.
64173	67276	Loom in my hair, swoop up in my shades.
67617	71841	Oop, the left eye just tap in me up, and bash that neck around your sweet boy.
71861	75445	Blue girls, queens of cringe, makes my eardrums singe.
75725	79369	Fart out from attention short, I'll ride in a jukebox court.
79729	83513	Blue girls, go full send, till the hangover makes amends.
83533	88138	Rude girls, you rule the scene with a scream that haunts my mongrel dreams.
