start,end,text
0,2690," Ball's up quick and at about noon Just thought that I had"
2690,3480," to be in Compton soon"
3480,5580," I gotta get drunk when the day begins Four months to start"
5580,6360," a bitch about my plans"
6360,8160," Bought a golden damn year whip, blind new fellas at the"
8160,8520," bathroom"
8520,10400," Went up on signs, ran in the house and grabbed a clip"
10400,12720," Up the back tent, on the side of my hip Failed outside and"
12720,13560," brought in my weapon"
13560,15530," Just about to pull, got step in Jumped in the boy, hit the"
15530,16280," juice and arrived"
16280,18800," I got brought back in side to side, that other day I was on"
18800,19120," my way"
19120,21160," Bummin' new shit, Miami away It was gangsta gangsta, the"
21160,21680," top of the list"
21680,23120," And I played my own shit with someone like this"
23120,24120," Who's down the street?"
24120,26160," Hit my six hole, chuck in the bitches Slap in the holes,"
26160,26920," went to the park to get"
26920,29360," the stu Knock all hands out of the cold"
29360,31720," Shootin' some ooks, Scott pulls up with K to B"
31720,33840," A fresh up from me, a roller keel, a D-roll Down this"
33840,35180," window, he's dark as same"
35180,41040," It's all about makin' mad GTA 'Cause the boys in the hood"
41040,44840," are on his heart"
44840,50600," You come talkin' that trash, who will follow your call?"
50600,53910," Knowin' how you need like, but you'll be legit The pokey"
53910,55840," boy, 'cause I ain't sick shit"
55840,57680," Forward as hell, I don't wanna get ill So I went to a spot"
57680,58520," where my homeboys chill"
58520,60060," The fellas that's out there makin' that dollar I pulled out"
60060,61360," the mopsticks, oh wow"
61360,63260," I pay pre-140 and I start bringin' 'em on the 8 Call my"
63260,63960," friends 'bout to toss to the"
63960,65700," left To get a big girl to find body before the"
65700,68590," left I hit their fat girl, he popped Get out of the puddle,"
68590,69440," said to that mania"
69440,71480," that She said somethin' I couldn't believe so"
71480,73520," I grabbed her skin, big bitch, what I got for your sweet"
73520,76460," She starts shit, whom know, just blacker Man, slap the hoe,"
76460,77040," where her heart just jumps"
77040,78920," up And this is supposed to make me shout"
78920,83800," So do a right cross and knock his, knock his own ass out"
83800,90400," 'Cause the boys in adulthood are always haunt You come com"
90400,93080,"in' in trashed for your pull,"
93080,98320," you're caught Knowin' that ain't in life, but to be legit"
98320,101300," Don't pull me boy, 'cause I ain't shit shit I'm low and"
101300,102560," hard now under control, then wrapped"
102560,104440," the six around the telephone pole I looked at my car and I"
104440,105080," said, ""Oh brother,"
105080,106840," I pulled in the gutter and go"" I'm buyin' out a walkin'"
106840,107520," home and I see a"
107520,109770," G-ride, no caddies, drownin' two on the side Fake bust of"
109770,110880," you, big got pulled open"
110880,112800," On the comin' top in a dog breed, no love Cat beat, foal is"
112800,113720," hit, and the rest is shot"
113720,115460," The peak in the hip, the writin' is kissed Now, gee, it's"
115460,116320," tough for doin' the grind"
116320,117840," Pull the fence and the boy, he'll do some chime"
117840,125030," Boys in adulthood are always haunt You come comin' in tr"
125030,127080,"ashed for your pull,"
127080,132200," you're caught Knowin' that ain't in life, but to be legit"
132200,134840," Don't pull me boy, 'cause I ain't shit shit"
