start,end,text
0,4110," Alarm, frogs, greens, I'd sooze like a pro The two pairs of"
4110,5200," eyes say ""Come on, let's"
5200,6200," go!"""
6200,8990," The leash is a mess, they're tangled again I know they need"
8990,10600," to go, just don't know when"
10600,13460," No thought be yet, but they don't care They're sippin'"
13460,15000," every bowl, every tree, every"
15000,17560," chair I swear they're puttin' drab feet to the"
17560,19720," park Damn, no way, we only tell me all these breaths"
19720,23400," Why I Two dogs, one mince, no beefs"
23400,26190," And the reggae sets up for a master beef Sunday on five,"
26190,27240," show up aboard the daily"
27240,29840," parade I'll decide, watch, breath, for my big night"
29840,34560," faves Two dogs, one mince, no beefs"
34560,38120," Neighbors wave, I pretend I'm the console But B.O.'s like"
38120,39160," an M.T.O."
39160,42430," Juki's biting the mailman's shoe I'm yelling their names"
42430,43560," like a fuck, but that's"
43560,46460," who Yes, this is an exercise, this is urban combat"
46460,48880," I'm Don Ditch, blooters, rollers, and a psycho jack"
48880,52150," It's the days I dream of the robot fuck And then they look"
52150,54280," at me and I just shut up"
54280,55100," Two dogs, one mince, no beefs I am so stretched like a"
55100,58560," Jesus beast"
58560,61800," On the ground, barge out of a cave parade Every morning, P."
61800,63680,"L. is one day and one day"
63680,66950," Two dogs, one mince, no beefs I love it like Koopa Day, boy"
66950,67600," it's sane"
67600,71220," Chasing swirls like it's egg cocaine And when we're home, I"
71220,71680,"'m gay"
71680,78320," They're just fresh and stored Why, then it will sum a civil"
78320,78800," war"
78800,82500," Two dogs, one mince, no beefs Call the U.N. for a parking"
82500,82960," cease"
82960,86440," But tomorrow at dawn, we'll be out again Just a guy, his"
86440,88280," dog's send, zero-send"
88280,91280," Two dogs, one mince, no beefs"
