start	end	text
773	3258	Alarm frocks, greensights, zoos like a pro.
3278	5702	The two pairs of eyes say, come on, let's go!
5722	8006	The leash is a mess, they're tangled again.
8207	10491	I know they need to go, just don't know when.
10651	12795	Don't thought be yet, but they don't care.
13116	15480	They're sniffing every pole, every tree, every chair.
15620	17945	I swear they're putting drag me to the park.
17965	20790	Damn the way we always have, we always breath, why I?
20770	23318	Tudum for one minstrel, please.
23338	30239	And the regay sets up our master beast on the unbossed show, but more the daily parade of the cyborg's breath for my gig night faves.
30520	32586	Tudum for one minstrel, please.
34473	37297	Neighbors wave, I pretend I'm the console, but B.O.
37277	39179	's walkin' M.T.O.!
39199	43866	Juki's biting the mailman's shoe, I'm yelling their names like a fuck-butt that's who!
44186	48793	This isn't exercise, this is urban combat, I'm dodging scooters, strollers, and a psycho jet!
48993	54220	Some days I dream of a robot pup, but them men look at me and I just shut up!
54200	56203	Two dogs, one leash, no peace.
56683	58566	I am just French like a Jesus beast.
58646	61009	I'm the clown barge out of a cave parade.
61069	65435	Every morning, BLs find a head with an A. Two dogs, one leash, no peace.
65455	67378	A little bit like Cooper Day, but it's sane.
67658	69701	Chase these squirrels, I'll give that cocaine.
70041	71383	And when we're home, I name.
71724	73967	Babe, just trash and stone.
74227	77912	Why bandage wounds from a civil war?
78719	80604	Two dogs, one leash, no peace.
80904	81786	Call the U.N.
81827	83009	for a parking cease.
83049	85455	But tomorrow at dawn we'll be out again.
85475	87821	Just a guy, his dogs and zero sin.
88342	91530	Two dogs, one leash, no peace.
