start,end,text
0,6120," They showed up normal, looking clean The kind of calm I"
6120,7040," hadn't seen"
7040,10810," Said just a place to crash one night Swear I'll be gone by"
10810,11900," morning light"
11900,15980," But he overslept and missed his call Said one more night I"
15980,17100,"'ve lost it all"
17100,20090," They'd been through hell, I gave him a shot But the c"
20090,22300,"ravings came and he just forgot"
22300,25290," I gave you my couch, gave you a break Thought you'd stay"
25290,26560," clean for everyone's"
26560,30460," sake But you dropped at G when the house went still Now you"
30460,31080,"'re shaking hard and getting"
31080,35070," your fill I went to bed, you went to war Shaking our"
35070,54120," friendship to its very core"
54120,57480," Lauren called, says she's still got hope Jorah's shadow"
57480,58800," slipping down a slope"
58800,61950," It's a pile of moments you've let slide by While you chase"
61950,65400," sleep with a chemical high"
65400,68390," They'd come tomorrow if you'd just say when But you're"
68390,70360," locked in the arms of your oldest"
70360,76640," friend And he don't care if you wake again"
76640,79470," I gave you my couch, gave you a break Thought you'd stay"
79470,80680," clean for everyone's"
80680,84780," sake But you dropped at G when the house went still Now you"
84780,85180,"'re shaking hard and getting"
85180,95820," your fill I went to bed and banged the floor"
95820,98700," It wasn't smack, it wasn't blow This shit creeps in quiet"
98700,100200," and steals the show"
100200,102820," Your eyes rolled back, your fists went tight You were"
102820,104760," drowning dry in the pale porch like"
104760,109100," You said it's GBH or maybe G But you were gone before it's"
109100,109780," plain to me"
109780,115890," I sat there holding your vacant shell A front row seat in a"
115890,117360," private hell"
117360,120350," I gave you my couch, gave you a break Thought you'd stay"
120350,121880," clean for everyone's sake"
121880,124690," But you dropped at G when the house went still Now you're"
124690,127000," shaking hard and getting your fill"
127000,131000," I went to bed, you went to war Shaking our friendship to"
131000,131120," its very core"
