start,end,text
0,20480," Fast and loud the strings ignite, running wild on Frisco"
20480,21760," nights, history books with"
21760,24740," missing lines, coyotes creeping back through time, never"
24740,26360," thought they'd roam again, past"
26360,29340," the branch and city bends, we drove 'em out in olden days,"
29340,30960," but hunger finds its modern"
30960,34150," way, steel and fog the Golden Gate, open pathways shifting"
34150,35440," fate, through Marin they made their"
35440,38520," claim, scratched the past it's not the same, lines are"
38520,40220," drawn in yards and hearts, sidewalk"
40220,43940," meetings, dog park barks, debate in every local bar, are we"
43940,46040," safe for Orib war, out on"
46040,49900," the streets again, coyotes running free, San Francisco"
49900,52640," shaking out the old history, from"
52640,56490," Marin they came, crossed the red steel frame, now the city"
56490,58520," splits two sides of the coyote"
58520,73180," game, how it the night, how it the night, back in the day"
73180,76000," went the way 1895, we thought"
76000,79540," they'd dead be gone but San Francisco survives, leaping"
79540,81920," from the forest riding on the northbound"
81920,86010," wind, sneak through the brazilio, a reckless oncoming, some"
86010,88020," clutch their dogs tight, keep"
88020,92400," the backyard light, kids off the grass, fear a yellow stare"
92400,94760," at night, others see balance,"
94760,99170," nature on patrol, clearing out the rats, chasing cats,"
99170,101300," filling up the hole, out on the streets"
101300,105950," again, coyotes running free, San Francisco shaking out the"
105950,108240," old history, from Marin they"
108240,112900," came, crossed the red steel frame, now the city splits two"
112900,115040," sides of the coyote game,"
115040,141080," how it the night, how it the night,"
