start	end	text
18475	21060	downtown retail apocalypse.
21080	22703	City policies contradict.
23044	24948	Walgreens closing one by one.
25569	27172	Target locks up everything.
27513	28575	Smash and grab.
28595	29838	It's all the rage.
29858	31722	Organized theft takes center stage.
32042	34086	Billionaire tax breaks abound.
34106	36130	While mom and pop shops hit the ground.
36491	38475	Professor politics regresses hopes.
38455	62961	Buffering planning built on false cloaks The city by the bay of disarray Astithesis continue to fade away Empty storefronts line the streets Diabolism in retreat Corporate chains all running scared While City Hall just stares and stares Bye bye bye Watch them go Bye bye bye Told you so
80272	89086	Security guards with hands all tied A shoplifter's run outside Five-finger discount, daily thrill What consequence does equal nil?
89106	102566	Tech bros paid three grand for rent While small shops can't make a dent Economic paradox San Francisco's than Dora's box High-rise towers, port-a-tours What the hell are we fighting for?
102847	105030	Social experiment gone wrong
105010	107113	That's the theme of this gap song.
107514	109256	Leftists aren't going to try in the seats.
109717	111279	Capitalism in the dreef.
111840	113342	Corporate chains aren't running scared.
113523	117228	While City Hall just stands and stares.
117248	118230	Bye bye bye.
119511	120533	Watch them go.
121775	122756	Bye bye bye.
124038	125280	Told you so.
