start	end	text
3878	8745	Bible alarms, I snooze trying again.
9606	14432	Dragging my feet to who knows when.
15314	18818	Toes burn black under the late scarred.
21122	25127	Faked in a smile, I play the part.
25985	28830	American Idol, stuck in a chair.
29171	31755	Treats collecting, Dufkin dead air.
32136	34760	Promises sold, bought a minimum wage.
35021	37686	Counting the hours in a cage.
40471	43376	Oh, oh, oh, oh.
43396	43696	Oh, oh, oh, oh.
43716	45259	American Idol.
55988	61013	Clipboard kings, they nod and yawn.
61874	66839	Building nothing as time drags on.
67660	72705	Copy stains on an empty plan.
73466	78511	Stuck on posits, change began.
79412	84898	Routine, feel like a disease.
85115	89700	Trading fire for guarantees.
90401	92984	American Idol stuffed in a chair.
93384	95967	Dreams collecting dust and dead air.
96347	99311	Promises sold for minimum wage.
99331	104817	Counting the hours in a cage.
104837	107219	Oh, oh, oh, oh, oh, oh.
107240	108080	Oh, oh, oh, oh, oh, oh.
108100	109502	American Idol.
136955	139800	American Idol, stuck in a jam.
140140	142725	Dream selecting, dusk and dead air.
143005	145690	Promises so far, minimum wage.
145930	148134	Downing the hours in a cage.
148154	156027	Oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh
