start	end	text
12704	16049	Lights reduced to swiping left and right.
16069	19234	Scrolling through the void in the pale blue light.
19254	22119	Profiles lined up like a deck of cards.
22479	25264	Laughing at the boredom hiding all our scars.
25805	28349	Notifications chasing through another night.
28649	31594	It's easier to scroll to try to make it right.
32034	34679	Everyone's performing, no one wants the truth.
35079	38745	Chasing validation just to numb our ear.
38725	64547	Swipe left of reality fading into screens Matching with a ghost or another me Connection is a scroll validation hit Propulse in the dark pretending we exist Whoa, whoa, whoa Empty hearts on hold Whoa, whoa, whoa Dopamine so cold
70467	95293	I'm just another pixel in a cynical parade Tapping out confessions to a digital charade Filters on my feelings and the bio is cliche We chase another stranger just to fill the day We never look up from the glare Lost in the feed we share Wasting days in disrepair Do you even care?
96320	99504	Swipe left of reality fading into screens.
99524	102087	Maxing with a ghost or another meme.
102287	105210	Connection is a scroll validation hitch.
105550	112639	Profiles in the dark pretending we exist.
112659	118265	Empty hearts on hold.
118785	121028	Dopamine so cold.
