start	end	text
14088	18055	Just a bruise on weekends, friends on the beach.
18396	22062	Now frustrated drivers fill every side street.
22403	26149	What once was a shortcut is a nightmare now.
26791	32721	All for a ribbon and a political vow.
33578	38123	Proposition K, got it wrong all along.
38364	41828	We're chokin' on the traffic as the parade rolls on.
41848	46613	Cut off our veins to build their outdoor stage.
46633	50117	Sunset and Richmond are burning with rage.
52320	56325	Too loud, too fast, can't sleep, can't last.
56345	59248	Too loud, too fast, can't sleep, can't last.
66502	74457	Once we had peace off the Great Highway, now it's gridlock on Tuesday, hawking every day.
74477	82072	Incardio's file called it progress for all, but hundreds of neighbors ignore his recall.
82432	89185	No environmental study to say if we're doomed.
90245	96574	Just spikes and the blocks and another ballot consumed.
97615	102162	Five position cake, got it wrong all along.
102362	110213	We're choking on the traffic as the parade malls are cut off on days to build their outdoor states.
110634	114379	Sunset in Richmond, I'm burning with grace.
116266	120344	Too loud, too fast, if sweet can last.
120364	123036	Too loud, too fast, if sweet can last.
