start	end	text
11810	28198	Remember Sunday morning, quiet coffee steam outside my door Now it's sirens every hour, engines roaring, endless more Traded blacktop for a promise, but the deal was one way signed
28178	33871	Public vote without our warning left our lives stuck in a line.
34111	39262	Did you count crashes climbing, families stranded on the curb?
39623	44955	Shuffle paper, skip the study, just pretend it's not absurd.
44935	49841	All the cars losing patience, jam in front of my home.
50522	56049	Frock gate parked for tourists, while mirrors stuck in the zone.
56069	60855	Sunset Richmond left behind it, endless horns and fumes.
61576	66342	No one asked what happens here, democracy left the loom.
68464	73170	No way out, no way through, overflow on avenues.
76525	81591	Lines of metal, never ending kids Dodging double yellow speed
82010	93066	Nights haunted by engines blending with vaults no one ever read or heeds Where's our air that's not from tailpipes stacking up footwalks?
93086	109350	Shot dip through without a scuddy while they bare batting facts in talks Said it's clean by draining all wood from the dirt Ignored the folks, let me unboast Our voices never heard, ours losing patience
109330	111553	jam in front of my home.
112334	117120	Rob came parts it for two lists while we were stuck in the zone.
117781	123268	Sunset Richmond left behind it endless horns and fumes.
123288	128335	No one asked what happens here, democracy wet the room.
135453	140400	No way out, no way through, over Fawn Avenue.
150674	155523	All the cars losing patience, jammed in front of my home.
156185	160994	Sunset Richmond left behind it, endless horns that goose.
161675	166725	No one asked what happens here, democracy left the room.
