start	end	text
5279	34577	Power cords ring out, as I sit at my desk Riffing the daydreams, running through my head Scrolling the endless, feed for some delight Online I'm loud, offline I stay out of sight Boot up my day, I'm ready to post Snap a new pic, filter it the most
38084	42088	Followers climb, but I'm stuck in my room.
42489	44691	IRL me is out of tune.
48355	49816	Spring name is Fall.
51257	55081	My avatar's cool, like by a crowd I never met at school.
58745	60247	DMs are fire.
61288	65492	Replies coming fast, but real conversations never last.
68948	73756	I tour online, that's what my group boss says.
74617	78744	Got the quip it whines, and a thousand friends.
79745	83892	IRL I'm weird, can't look them in the eye.
84693	88780	But I've imagined, me I buy wi-fi.
90522	95310	Type it up, it says, feel alive, I tour online.
101028	123222	I'm fuller on mine Photoshop friend I'm livin' the meme Scrollin' content I know what I mean Laughing emoji To cover the pain I'll find my jokes Don't land the same
125463	133377	I just dream of everything I want to be, but face to face I always freeze.
135220	139748	I'm taller online, that's what my papa says.
140569	145879	Got the perfect ones, and a thousand friends.
145899	150627	I are out of words, I can't look that in the eye.
150607	163165	But I've a legend behind my back L, L it's I, I'm not fine, I'm four on nine, four on nine
