start	end	text
1465	5029	How muted now, of course.
12856	15739	Marching to the lowest bar.
16180	18923	Thinking less gets you far.
19403	22346	Logic's left behind the trend.
22366	24529	Idiots get to set the end.
25850	28633	Reason drowned by empty noise.
28994	32177	Common sense replaced by poise.
32197	35120	Blindly led by liars bold.
35421	41327	Truth gets bought and cheaply sold if knowledge is a crime.
41307	44011	Then what's the price we paid?
45093	58494	Dumbing down is trending now Ignorance is bliss they say Critical thought grown away Standing proud to be cliched Hey!
60437	65124	Stips all the rage Hey!
67167	68850	Turn out the page
81082	83966	TV screens blast mindless shows.
84347	87130	Social media feeds the flame.
87591	92678	Fools get famous overnight while Libra collects the dust.
94120	100609	In formation at our fingertips, we choose to stay in the dark.
100629	106397	Celebrating mediocrity, it's daring us to fart.
107086	110070	Dumping down is trending now.
110571	113235	Ignorance is bliss, they say.
113696	116440	Critical thought thrown away.
116820	119684	Extending proud to beat Miche.
120165	122609	Hey!
122629	124151	Stupid's all the rage!
126915	129399	Hey!
129419	131001	Turn out the page!
