start	end	text
18560	21244	Skateboard wheels on tracks are meh.
21264	23427	Another night just came and went.
23647	26912	Spamming hearts on brick brick walls, laughing loud duty calls.
29316	31319	Early morning, bus is late.
31859	34263	Teachers glaring for some shade.
34283	37448	Eyes have opened, shoes untied, still can't fit the dead inside.
40091	42555	I'm sick of all your stupid rules.
45259	48043	The way you act like we're all fools.
50335	74419	Suffer then life is killing me I just wanna break free Break free, break free Break free, break free Principal's office one more time Full on junk they call the crime I'm freaking out again while I'm hanging with my friends
76272	78375	They say I should grow up.
78916	81279	But their lives just went stuck.
81299	84444	Can't even take the lock and leave the town that makes me.
87108	89572	I'd stop all your stupid rules.
92216	94739	The way you act like we're all fools.
97463	99887	Suburban life is killing me.
100648	105435	I just wanna move out, but please don't move.
107795	109763	Break free!
109783	110325	Break free!
113115	113999	Break free!
114983	115645	Break free!
