start	end	text
16653	24142	Throw that mic on, so proud to display Got latex and silicone, ready to slay Smoother, chunky, white, brown, or clear?
24503	27006	Sump or the bathroom, sump or out here?
27146	34896	Colors on the shelf, I can't decide Flexible, waterproof, I'm blown out five Thick as a milkshake, or runny as paint?
34916	43707	Hit the like button, say your job ain't faint Let's see if bunnies start to talk, off on their mic
45543	61797	Gonna get, don't worry, you're gonna find Don't have further doubt, every single line Bolt in your toolbox, gotta use it boy, I can't compete, you dig?
70349	97504	Walked through the store, asked for some caulk Guy at the counter just started to gawp He handed me a tube, I said with a smirk Hope this one fits, I've got a lot of work White or clear, the choice is yours Squeeze that trigger, open those doors Everybody's knocked off of their mind
99374	102299	Donna Depp, don't worry, you're Donna Fonk.
104503	107429	Donna smooth out every single line.
109332	111536	Conking your toolbars, Donny, is it right?
111816	114902	Call Bob, Donna could dine.
