start	end	text
14392	29785	They're selling futures on a funeral pyre Cash in your hand while the world's on fire Fanjulot on democracy's death Place your bets before the last breath Batting on the cot
29765	31226	Rolled up ties again.
31587	34630	Markets crashed but the house still went.
34990	38414	Trade your soul for a car in hand.
38434	41877	Gamblers running the promised land.
41897	44900	Meet-up cuts jobs while the rent goes high.
45321	48344	Rent lines taut in a gerrymandered sky.
48764	51828	Politicians dealing like it's all a game.
52148	55271	Stock ticker rigged but they're not to blame.
55611	57173	Penny money cuts.
57153	58635	Roll the dice again.
59036	62421	Markets crash but the house still wins.
62441	65486	Trade your soul for a dollar in hand.
65866	69192	Gamblers flooding the bald-ass land.
69212	72457	Spin the wheel, your bites are gone.
72737	75001	Shuffle the deck, it's all a con.
76182	79768	Wears big galoos, is clean, but saves on the slot machine.
93232	96375	Betting on the callops, Bruce keeping score.
96516	99819	The four caves in, but they just want more.
100079	103203	Stack the chicks on a broken land.
103423	106706	The house still wins with a dead man's hand.
107047	110130	Betting on the callops, bro, the dice are canned.
110471	113514	Markets clash, but the house still wins.
113854	116957	Trade your soul for a dollar in hand.
117298	119340	Gampers flooding a pot.
