start	end	text
48057	51683	I died broke in a broke-ass town of Bosno, still no hole in the ground.
51884	55470	Brisa guy I naffed last week, charged me a couple just to speed.
55630	59437	For coppin's native party, but boredly cycled like Cy Campord.
59637	63203	No one showed but thoughts and yet my final bow skill not dead yet.
63464	65307	Grabbed by the gunner, all flicked to pay.
65287	79127	Spend all my soul and waltz away No tunes, don't just a QR code Scan for it, read for it, skip this load Grabbed by the funeral paper, cry Stream it live, this high-flat line No heaven, no hell, just above me goal And bury what's left of my rock and rolls
80255	84305	No Ardennes, just thought a play suggested him from yesterday.
84325	88214	A power's wilded on arrival, said too late by crime revival.
88234	91823	Patches shipped in Amazon, delivered wrong, they dropped my mom.
91843	95732	They taped me up and shipped again, with tracting code, this is the end.
95712	100341	We're dabbing here today.
102204	117973	Celebrate the life of someone.
118426	120629	We're creating a board that the Rook's Commission hates.
121070	123413	Her life has... Valor gains.
123873	124654	Decapitalism.
125335	127979	And now... Frappin' again or I'll strike to cry!
128259	129962	Left my will in a Google Drive.
130222	132024	No mass word, just termed it these.
132044	133827	I bought my soul in MP3s.
134007	135749	Frappin' again or I'll book and cash.
135769	137532	I sold my rights to what we said.
137672	139454	So dig my grave with a broken pen.
139675	141677	And get a real L on my headstone.
142919	143540	Crappin' it!
146744	147285	Ditto!
150387	154234	Trap on it!
154254	156678	Girl!
156698	157018	Trap!
159202	160164	Trap got it!
160184	160705	Bureau!
161586	162267	Trap got it!
163489	164251	Trap!
164271	165112	Scan me now!
165293	166094	Blast one note!
166274	166975	Sell my shoes!
167236	167937	Sell my boat!
168218	168899	Kick my ghost!
168919	169920	Squirm every thread!
170141	171904	Blast so loud I wake the dead!
171924	173006	And Wump's not gone!
173086	173927	Never done!
174007	175690	Tell the world we had some fun!
175951	176772	Final scroll!
176973	177674	Wump farewell!
177914	180158	See you all in Numbin' Hell!
