start	end	text
24719	32652	Posesiones nunca fueron para mí, nunca las tuve.
32672	44172	No es verdad, tengo un colchón y un guitarrón y un pelo muy groso queme a mi suelo.
44192	50322	Así es, tengo un suelo y que
50302	51623	¿Y qué?
51643	53525	¿Y qué?
54006	80173	Tengo bolsillos llenos de iglesia y agujeros y todo lo que me importa a mí se cae por mi tierra hasta el suelo.
81537	109063	A mi cabeza Dame algo en que creer Soy yo en la playa Buscándote
112621	119948	Can be on me boy see
126273	140908	Soy yo en la calle con mi guitarrón, tocando y sonriendo, cantando acerca de ti.
141428	145572	Soy yo sentado atrás en el bus.
146093	149316	Soy yo en la prisión.
149877	154141	Soy yo en tu cabeza.
154441	156263	Soy yo en tu cabeza.
187276	188926	Oh.
188986	192628	Oh.
