start	end	text
20483	23327	Makotine baits and a Netflix binge.
23848	26753	Passport dopamine, straight to the fringe.
27233	29757	Endless scroll, another cheap laugh.
30018	33082	Likes a slot machine, pull the app.
33683	36948	Low effort, high convenience kills.
36968	39873	Synthetic joint and subscription bills.
40213	43458	Low effort, high, just pacify.
43498	46643	We're all too numb to even ask why.
53153	78283	Kicktok sermons and Amazon prayers Instant delivery, nobody cares Plastic pleasures in disposable time John Food Culture, dressed up as Prime Moabford High, don't mind drip Filker your bike through a selfie stit Moabford High, can't qualify If we're ribbing at all or just getting by
85503	87986	But share, comment, subscribe.
88367	90950	Artificial meaning cheats us alive.
91511	93935	Push that button, scratch that itch.
94075	97620	Attention spans up 80 slicks.
97640	101004	Flow Ember High, the easy fix.
101024	104048	Order your kitscher, it today clicks.
104068	107213	Go Ember High till the day we die.
107273	110397	Cheat little frills as the years go by.
123117	126003	Bo F. Farnhyde, the easy fix.
126585	129731	Order your kitchen today, clicks.
129751	132718	Bo F. Farnhyde, till the day we die.
132758	140535	Chief Little Thrills has the years, go guy!
