start	end	text
4908	33480	Punch the clock, fluorescent halo Clipboard gospel in my hand Safety vest of passive abrasion I'm the saint of every band, come in Tick the box, file the grievance Stop the hour with a Molotov grin You wrote the rules, I'll weaponize them Watch your precious policy spins and jump I did the homework, measured angles, cleared the floor You want compliance, congratulations I'll give you more than you asked for
33460	45951	Well, he's just gone by and fro-bo-gri-ed, doodling by the book till the book's on by, and well, he's just gone by and fobbled in by, and following orders with the middle finger of choir!
50572	76056	Section 8 subparapherdeosa scripture, holy cop Steel-choked boots on a glass-jawed system Signed the waiver, tore it off Staple memos to the ceiling, paper snow starts raining down Emergency exits barricaded, evacuation drill, stark snit You have label, every hazard, so it has one on your face You want a quarter?
76036	77378	Lear reports!
77398	79540	Here's a spreadsheet laced with maze!
79560	80862	Malicious compliance!
80882	82043	Robo riot!
82063	84826	Doing it by the book till the book's on fire!
84846	86088	Malicious compliance!
86108	87450	Woeful defiance!
87470	89252	Following orders with the middle finger!
89292	91755	Quiet!
91775	92175	Yes, sir!
92235	92776	No, sir!
92816	93737	Free pet folks!
93857	96460	All signed in blood on the timeline!
96480	97101	Yes, sir!
97141	97682	No, sir!
97702	102928	Paperwork posts of stampin' approved while I undermine!
102948	103849	Jake Pops!
105331	107817	TAPE BOSS!
107837	108579	TAPE BOSS!
110282	111265	TAPE BOSS!
111285	113610	RING THE BIND PRINT, IT'S A TRAP!
113630	116036	STAND THE BOTTO, KISS MY ASS!
116056	118401	AND IT'S ALL HERE, AND IT'S ALL DEAD!
118421	121348	THE CLIENT'S JAILS WERE KILLING BAD!
125902	147083	HR sweating, peers praying, labels drafting, ten more walls, I'm just your faithful little cog, grinding statutes into stalls, coffee break, I'll break the circuit, lunch at noon, a lunch at nine, policy says keep it tidy, so I alphabetized your slide.
148430	153677	Malicious compliance, rumbled but brilliant, doing it by the book till the book's on fire.
153758	159886	Malicious compliance, lawful defiance, following orders with a middle-fingered client.
159906	178032	Malicious compliance, choking on red tape and passive PR wire, croaking out in ashes, book's charm still intact, next shift starts tomorrow, bring another stance.
179277	181949	VAMPIRES!
181969	182632	VAMPIRES!
184460	185625	VAMPIRES!
