start	end	text
537	14372	I woke up early with my serious smile Turned on the tube and stared for a while No LeVar Burton, no reading Rainbow No more surprises on the Antiques Roadshow Where did Bob Ross go with his happy trees?
14392	19918	No more educational shows teaching me about bees And the guy from Zoom who used to shout, Hey yo!
20018	23642	Is that looking for a job at Trader Joe's?
24753	53308	This program was brought to you by the letters F and U And viewers like me, well we got screwed too They told us lies, we took the bait They just wanted a bigger piece of cake They stole Mr. Rogers, just to keep their tax break Big Bird slipping fries, Kermit's in disguise Oscar's got a podcast, just ranting at the sky PBS is gone, NPR's in debt They may have been defunded, but they're not gone yet
57862	60645	Where in the world is Carmen Sandiego?
60725	63567	Somewhere on hold with Wells Fargo.
63587	65830	Arthur got canceled for pushing respect.
66190	68913	And now there's a show called Tax Credits for Pets.
68933	71515	They fired Kyle Kassel, stole his voice for an ad.
71595	74258	Now he reads disclaimers for Crypto Dad.
74598	78522	A clip of the Big Red Dogs now parade because kids don't read.
78542	80183	They school all day.
80364	81465	Mind it, they shut it.
81485	82826	Too educational.
82946	84347	Money was free.
84367	86029	True inspiration, fine.
86009	108810	Just kidding, that's toast.
108790	111693	Elmo's doing TikToks for old men in suits.
111993	114936	Julie has been replaced by A.I., which ruins.
114996	115937	Maria's gone.
116158	119361	Louie's gone, but Hank Grover's just selling.
120021	124286	So, Boobiesy, Jeff, and Rick Percott.
124426	125387	Good night, moon.
125807	127189	Good night, hope.
127209	130372	Good night, Bill Nye and the Antiques Roadshow.
130392	131453	Good night, Big Bird.
131713	133075	Good night, Frontline.
133115	138240	I'll see you all again in privatized time.
140752	147403	Today's show was made possible by absolutely no one!
