start,end,text
0,7560," Wake up, America, smell the D-Tay Corporate vultures"
7560,8720," circling their prey"
8720,13800," The Department of Education bids drift away Billionaires"
13800,17000," calling all the shots today"
17000,21300," Textbook-burned, t-shirt-ferged Indulent, raised dollars,"
21300,22160," submerged"
22160,25040," Uncalculated, clad, because they've finally unleashed"
25040,30000," Some teeth, the masses, scum, and on their knees"
30000,32880," Edutations on the chopping block"
32880,35800," Portrait of the ones who find it stuck"
35800,38200," Tearing down what we build up"
38200,43440," Under the huge dirt throwing banked rock"
43440,46240," Dumbed down"
46240,47320," Sold out"
55040,64800," (Music)"
64800,67280," Billionaires with their twisted schemes"
67280,70320," Just ventilating schools for profit dreams"
70320,73080," Children left behind can't compete"
73080,79240," While other nations search ahead, we retreat"
79240,81800," They cut the fun meat, cut the facts"
81800,84840," A generation's future under attack"
84840,87760," Critical thinking becomes a crime"
87760,92560," As we watch our country's DC Clyde"
92560,95440," Edutations on the chopping block"
95440,98320," Portrait of the ones who find it stuck"
98320,100720," Tearing down what we build up"
100720,104160," Under the huge dirt throwing banked rock"
104160,106000," Aye, aye, aye"
106000,107080," Dumbed down"
107080,108840," Aye"
108840,109760," Sold out"
114840,124200," (Music)"
124200,126840," Even Maxi winning the red frame"
126840,129760," A population they can't tent easily contain"
129760,132680," No facts, no science, just propaganda flows"
132680,135760," A calculated plan that nobody knows"
135760,138480," While slick schools shuttered, rather die stame"
138480,141560," The wealthy get choices, the rest feel the pain"
141560,144280," Tech blows and tyrants control what we learn"
144280,149240," While textbooks and truth get thrown into books"
149240,152120," Edutations on the chopping block"
152120,155000," Portrait of the ones who find it stuck"
155000,157400," Tearing down what we build up"
157400,160840," A merited future going bankrupt"
160840,161560," Fight back"
161560,162280," Rise up"
162280,163000," Fight back"
163000,163960," Stand up"
163960,167000," Our children deserve more than their creed"
167000,169640," Knowledge is power we desperately need"
