start	end	text
3676	29565	Wake up America, smell the detain Corporate vultures circling their prey The Department of Education bids drift away Billionaires calling all the shots today Textbook burnt, teacher's purge Indolence raised, all is submerged A calculated plan they finally unleashed To keep the masses coming on their knees
30035	32920	Agitation's on the chopping block.
32940	35183	Buffet over wants to buy that stock.
35884	38048	Tearing down what we build up.
38348	41413	I'm there, Doug, you jerk, so ain't bankrupt.
43577	46481	Hey, hey, dumb down.
46501	47503	Hey, hey, someone else.
64949	92290	Billionaires with their twisted schemes Dismantling schools for profit dreams Children left behind, can't compete While other nations search ahead, we retreat They cut the fun, we cut the facts A generation's future under attack Critical thinking becomes a crime As we watch our country steeply twine
92590	109823	Agitation's on the chopping blot Puppet of our lives, a planet stock Tearing down what we built up On Merida's future, going bankrupt I, I, I, dumbed down I, sold out
124585	152162	Thief and backthief when ignorance reign A population they can't and easily contain No facts, no science, just propaganda flows A calculated plan that nobody knows While slick schools shuddered, privatized aim The wealthy get choices, the rest feel the pain Techboes and tyrants console what we learn While textbooks and truth get thrown into burns Education's on the chopping block
152142	162273	Profitable on the private stock Tearing down what we built but A merit of future going bankrupt Fight back!
162293	162454	Rise up!
162474	163356	Fight back!
163376	164119	Stand up!
164139	170117	Our children deserve more than their creed Knowledge is power we desperately need
