start	end	text
8198	10541	TV dinner on the golden place.
13224	15467	Late night tweets decide the fate.
17509	20573	Billion dollar bill for another wall.
22416	25499	Rules don't matter if you want it, scumbag.
27322	29344	Sign it fast, don't read the checks.
29364	31807	Who needs a conference when you're on debt?
31827	36653	King with a pen, way better than feel so good to play pretend.
37747	41172	Pay each second a day.
42353	46078	Oh, oh, oh, unlimited play.
52547	54930	Woke up late, grabbed a big mat.
57093	59856	Spilled ketchup all over a diplomatic fact.
61178	65003	Throws the tantrum signs away.
66923	69768	Morphine someone tries to make him obey.
71010	74837	Checks and balances sound like a bore.
75959	79746	Toss the Constitution onto the floor.
81509	83152	Sign it fast, don't read the text.
83512	85957	We'll meet at Congress when you're a dick.
85977	87960	King with a pen, wave it again.
87980	90805	Feels so good to play pretend.
91882	100407	Bae-ae-ae-ae-ae-ae-ae-ae-ae-ae-ae-ae-ae-ae-ae-ae-ae-ae-ae-ae-ae-ae-ae-ae-ae
