start	end	text
773	1756	Constitution!
1857	2559	Amendment 22!
2619	4787	Two terms maximum!
5188	6452	That's all you can do!
6633	8238	Power-hungry minds!
8258	9442	Won't always touch true!
9503	11710	A loophole in the system!
12071	13737	To break through!
32887	36133	History repeats the dictatorial dreams.
36293	38677	FDR's legacy led these safeguard schemes.
38698	46291	Now another man claims exceptional means to circumvent what democracy means.
46311	50619	The framers saw this coming, checks and balances eroding.
51921	56650	When ambition meets delusion, democracy imploding.
61085	63248	Constitution, Amendment 22.
64069	66733	Since the last bomb, that's all you can do.
67134	74505	Our hungry minds will always trust through a loophole in the system to break through.
76027	77490	Break through.
77630	80374	Break through.
80394	86383	Try to break through.
