start	end	text
11523	14548	Scroll down my feed, it's a circus everyday.
14568	17372	Opinions over evidence, no one cares what experts say.
17693	20357	Shouting matches everywhere, sensory quakes, quack, bry.
20577	23602	Collusion's a currency, logic's genocide.
24303	29371	We've all suspect for a reason, let arrogance ignite.
30653	35100	Entertainment over truth, it's ignorance in the light.
39383	40485	Hey!
40505	43470	Society's in pre-bumper, don't bring Jesus each.
43490	46275	We celebrate the modest while intelligence betreats.
46595	49300	Nico answers, but we're now stupidity's the dread.
49620	52405	Watching as our fucker takes a nose-hit to the ass.
53286	53366	Hey!
53727	54148	Hey!
54488	54969	Hey!
55951	56351	Hey!
56732	57133	Hey!
57533	58375	Shut it down!
59717	60919	Shut it down!
72374	85163	Headline stream with nonsense facts don't matter anymore, conspiracy theories sell well, truth gets you on the door, experts aren't discredited, one pool six and a stage, welcome to the kingdom where the jester is a sage.
85183	90535	We're trading wisdom for swigs, intelligence for likes.
91510	96577	Reading generations of minds that never think twice.
96938	99962	Society is a brief hop and no pancakes to seat.
99982	102686	We celebrate the loudest while indulging in street.
103106	105910	Finger, hand, cheek, bow, and house, humanity is the trend.
106291	109035	Once again, God contradicts, I know that to the end.
109075	109856	Hey!
110537	110657	Hey!
111057	111518	Hey!
113481	114402	Dumb it down!
115163	116505	Dumb it down!
