start	end	text
31	4101	All right.
22357	26442	He's got a smile for the camera, canned in the pot.
26462	29226	Laughing with the lobbies, giving all that they got.
29907	32651	Bills on the table, want to vanish from sight.
33352	36516	Would just disappear, but he'll sleep well tonight.
36536	39580	Big, beautiful bill, cashing in on our pain.
39780	42944	Got the line points for kids, but his wallet's remade.
43285	46389	Ripping holes in our health, just to sweeten the deal.
46629	50895	Feeding fat cats while we skip another meal.
50875	74352	Slashing through the safety net, scissors in hand
77875	95040	KYC and Medicaid banished on command Telling us it's freedom but the chains are real tight Stacking gold up high while we give up our rights
98412	101556	Empty shelves where our groceries stand.
102097	104861	Empty promises, blood on their hands.
104921	108126	Big, beautiful bill, cashing in on our pain.
108346	111771	Got the lunch for kids, but his wallet's repaying.
111791	114955	Ripping open our health, just to sweeten the deal.
115196	118581	Feeding fat dads while we skip another meal.
121645	123087	So generous.
125868	130056	Take what's there.
