start	end	text
6443	12553	Cult of personality tyrants with platforms built on defiance.
12573	19263	One tweets while democracy dies, the other spews nationalist lies.
19283	25192	Media moguls and tech kings manipulating the puppet strings.
25713	32063	Wealth as their measure of worth as they plunder what's left of the earth.
32043	60227	Unchecked power, dangerous game Free speech twisted, never the same The public discourse in flames While they absolve themselves of blame Oligarchs in power suits Feeding lies to their recruits Democracy hangs by a thread While propaganda fills your head Truth decays
61962	63146	Truth decays.
65272	66416	Truth decays.
68462	70268	Truth decays.
71142	98500	Silicon Valley billionaires Manipulate the truth, no one cares Media empires bought and sold Attention spans controlled and trolled Corporate kings with golden thrones Clutching tight to their smartphones The people's voice grows ever weak Past platform censor who can speak
99712	112648	The Constitution gathering dust While we're told who to fear and trust Algorithms shape narrative flow Tell me how low can we go?
112669	127187	Oligarchs in power suits Feeding lies to their recruits Democracy hangs by a thread While propaganda fills your head Truth be gazed
128872	139911	Truth decays.
