start	end	text
6815	9118	They took the sledgehammer to Capitol Hill.
9438	11681	Trump's in a role pumping Adderall bills.
11981	16907	Musk tweets laws from a private jet, says democracy's dead, but we're not there yet.
17368	21593	Education, yeah, they torched the schools and placed teachers of clickbait and crypto fools.
21933	26719	Kids learn more from TikTok feeds than a thousand bureaucratic PhDs.
26739	29262	We're circling the train in a limousine.
29242	44398	Lent by billionaires with guillotines Freeze your funds if you're holding grey Come verified, person or fade away We got tariffs on air, taxes on dreams Outrage, inflation in the land of the means Is this dystopia or just routine?
44378	46602	It's freedom bending for the ultra obscene.
46902	49126	Remember when facts had a little more weight?
49166	51790	Now it's true soul served on a gold dinner plate.
51810	56558	Congress is streaming on only fans and the nukes are action up to the highest stand.
56979	62107	Border walls built from iPhone screens and I see drones fly by Red Bull machines.
62127	67095	Nas all sold to Tesla's brand because Mars is the backup just not for your fam.
67598	73745	Well, folks, in the day, today's big America, and you can privatize the prison, but not the grand mals, and soon, it's our squeal.
74106	76669	Let's hear it for the free market, unless it broke.
76689	81555	We're suckling the drain in a limousine, led by billionaires with guillotines.
81875	83958	Freeze your funds if you're old and gray.
84198	86501	Come verify in personal or just decay.
86521	89344	We got tariffs on love, taxes on rage.
89364	91807	Opposed truth costs won't dance for days.
91827	94210	You wait for a bar cuff, still dasheen.
94551	96773	It's freedom, baby, in a fascist regime.
96793	97234	I like that.
97214	98979	Molotov with your last receipt.
99180	101507	Tell the SEC to kiss both cheeks.
101808	106903	If it all goes down in a blaze of tweets, we'll be moshin' in the streets with punk rock beats.
107795	116591	The algorithm judges what's left of our rights while we're all doomed, scrolling through endless fights.
117092	122122	Corporate bailouts are raining down on private yachts in a sinking town.
122142	124707	The working class gets a pat on the back.
124727	129175	Essential heroes, but your pension's hacked, so raise a middle finger to the status quo.
129195	135186	When the rich man system starts to blow, we're circling the train in a limousine like
