start,end,text
0,7170," Took the micro swagger, shot a self-made crown, planned to"
7170,8560," drain the system to your corruption"
8560,12050," down, but all we got were hashtags, anime parade, cryptic"
12050,13040," jokes and punchlines, nothing"
13040,15480," really changed, rode the hike with tweets like kings of"
15480,17240," clown town, towards that revolution"
17240,24970," chain back run down, thought you'd duck, fix the mess, save"
24970,26680," the day, clad a trillion in"
26680,30070," waste, you said hooray, but your rocket crashed on launch,"
30070,32000," so cliche, 9 billion pennies, that's"
32000,38920," all you saved, hey you, so not special anyway, hey you,"
38920,43200," just a meme of yesterday, tape rocking"
43200,46520," for dough, wild on the stage, selling moon tickets but just"
46520,48120," pocket change, big suit in"
48120,52370," black eye, the circus, the act, golden key from trump,"
52370,54080," hollow as a fax, camera clashes,"
54080,59380," thick confetti, paper crown, you're a punchline painted as"
59380,62560," a breakthrough clown, thought you'd"
62560,65630," duck, fix the mess, save the day, cut a trillion in waste,"
65630,67320," you said hooray, but your rocket"
67320,72080," crashed on launch, so cliche, 9 billion pennies, that's all"
72080,74800," you saved, hey you, so not special"
74800,81910," anyway, hey you, just a meme of yesterday, big suit in"
81910,86320," black eye, the circus, the act,"
86320,92260," golden key from trump, hollow as a fax, camera clashes,"
92260,96360," thick confetti, paper crown, you're"
96360,103390," a punchline painted as a breakthrough clown, thought you,"
103390,107200," fix the mess, save the day, cut"
107200,112840," a trillion in waste, you said hooray, but your rocket"
112840,116280," crashed on launch, so cliche,"
116280,123780," 9 billion pennies, that's all you saved, hey you, so not"
123780,127600," special anyway, hey you, just"
127600,129160," a meme of yesterday"
