start	end	text
4385	19018	Took the micro swagger, shined a self-made crown Planned to drain the system, tear corruption down But all we got were hashtags, anime parade Cryptic jokes and punchlines, nothing really changed Rode the hype with tweets like kings of clown town Toted revolution came back, run down
23875	28084	Fucked you dark, fixed the mess, saved the day, clout a trillion in waste, you said hooray.
28425	33015	Watch your rocket crashed on launch, so cliche, nine billion pennies, that's all you saved.
33897	38307	Hey you, so not special anyway.
38590	42237	Hey you, just a meme of yesterday.
42959	45223	K-Market for dough, wild on the stage.
45243	47628	Selling moon tickets, but just pocket change.
47648	50033	Big suit in black, I the circus, the act.
50053	52258	Golden key from Trump, hollow as a fax.
53039	56987	Camera flashes, thick confetti, paper crown.
57794	86097	You're a punchline painted as a breakthrough clown But you dodged, fixed the mess, saved the day Cut a trillion in waste, you said hooray But your market crashed on launch, simply shade Nine billion pennies, that's all you saved Hey you, so not special anyway Hey you, just a meme of yesterchange Big suit and black eye, the circus, the act
86313	90258	Golden Key from Trump, hollow as the facts.
91400	94984	Camera flashes, Bitcoin, Benny, paper crown.
96226	100111	You're a punchline painted as a breakthrough clown.
102234	105618	Top deal, fix the mess, save the day.
107040	110485	Cut a trillion in ways to say hooray.
111867	115932	But your rocket crashed on launch, so cliche.
116249	131406	Nine billion pennies, that's all you splayed Hey you, so not special anyway Hey you, just a meme of yesterday
