start,end,text
0,9650," Distortion, ripping through the fog and mist, downtown s"
9650,15060,"irens where the rebels exist, rips"
15060,20530," cut corners like they're burning the ground, fast lanes"
20530,26800," bleeding with the punk rock sound,"
26800,32800," speed sign flickers but I don't slow down, don't slow down,"
32800,34960," stereo blaring as I fly through"
34960,40620," town, fly through town, sand friend concrete shakes under"
40620,44100," tread, not gonna stop for a camera's"
44100,48460," wed, flash on the avenue taking modern wheels, caught in"
48460,51080," the web of the automated seal, big"
51080,57930," bunters laughing as he flips a reel, speeding in the city"
57930,60960," pays another meal, light slash"
60960,75690," red as I go, can't stop now, won't slow, oh, pedal to the"
75690,83840," metal but the street's all eyes,"
83840,91370," silent snitches snapping from the lamplight skies, twenty"
91370,95780," bucks gone in a traffic disguise,"
95780,103070," every buck another Orwell surprise, tick it in the inbox it"
103070,106240,"'s a bad routine, punk rock"
106240,110220," downshot on the screen, flash on the avenue taking modern"
110220,112100," wheels, caught in the web of"
112100,116130," the automated seal, big bunters laughing as he flips a reel"
116130,118100,", speeding in the city pays"
118100,135420," another meal, light slash red as I go, can't stop now, won"
135420,140000,"'t slow, uh-uh."
