start	end	text
2647	8815	Distortion ripping through the fog and mist.
8835	14823	Downtown sirens where the rebels exist.
14843	17827	Riffs cut corners like they're burning the ground.
20851	23835	Fast lanes bleeding with the punk rock sound.
26779	32046	Speed sign flickers but I don't slow down, don't slow down.
32617	56987	Stereo blaring as I fly through town, fly through town San Fran concrete shakes under tread Not gonna stop for a camera's lead Flash on the avenue, taking monowheels Caught in the web of the automated zeal Big brother's laughing as he flips a reel Speeding in the city pays another meal
60072	66387	Lights flash red as I go Can't stop now, won't slow oh
77774	101217	Pedal to the metal, but the street's all eyes Silent snitches snapping from the lamplight skies Twenty bucks gone in a traffic disguise Every block another Orwell surprise
102547	129482	Ticked it in the inbox, it's a bad routine Punk rock, down shot on the screen Flash on the avenue, taking my wheels Caught in the web of the automated seal Big brother's laughing as he flips the reel Speeding in the city pays another meal Lights flash red as I go Can't stop now, won't slow
139857	140005	Bye.
