start,end,text
0,16540," Lines of text can be never checked Scroll and tap without"
16540,16820," regret"
16820,24960," Contract ink that's dry and cold Sold our souls or so we're"
24960,25680," told"
25680,30100," Promises they'll never keep Very risky for all we sleep"
30100,37720," Paper walls around our heads Hoping nothing will be said"
37720,45660," Sign your name, just press agree Never read a word they"
45660,46640," write"
46640,55920," We're don't think so, easily Take you ever as white"
55920,67050," Whoa, whoa, whoa, whoa, whoa, whoa, whoa Pages long in leg"
67050,68000,"alese"
68000,75810," Promises beneath the fees Scroll right to the end, we're"
75810,76600," blind"
76600,84780," Stuck but say we're doing fine Clicking faster than we've"
84780,85600," based"
85600,93280," Tracking digital routines Swept away by all the screams"
93280,101310," Sign your name, just press agree Never read a word they"
101310,102240," write"
102240,109440," We're don't think so, easily Take you ever as white"
132240,139840," [BLANK_AUDIO]"
