start	end	text
7793	10096	Lines of text we never check.
12259	16764	Scroll and tap without regret.
16784	19147	Contract ink that's dry and cold.
21210	23513	Sold our souls or so we're told.
25675	27818	Promises they'll never keep.
27838	29921	Barely with you before we sleep.
30161	33345	Paper walls around our heads.
34507	37470	Hoping nothing will be said.
37851	41175	Sign your name, just press agree.
42396	45680	Never read a word they write.
46741	49985	We don't take so easily.
51226	53829	Take you ever as wife.
54610	57013	Whoa, whoa, whoa, whoa.
59035	61358	Whoa, whoa, whoa, whoa.
63380	89100	Pages long in legalese Promises beneath the fees Scroll right to the end, we're blind Stuck but say we're doing fine Clicking faster than we pace Tracking digital routines
89958	93002	Swept away by all the screams.
93403	96727	Sign your name, just press agree.
97949	101214	Never read a word they write.
102255	105479	Flavco tastes so dizzily.
106801	109485	Take you have the rest, why?
