start,end,text
0,3000," (whispering ""Maggie-lo"")"
3000,10000," (singing)"
10000,13000," You step up, swing it on the first green"
13000,15000," Drive straight down like a laser beam"
15000,17000," Confidence drive they've never seen"
17000,19000," But I know how this will go"
19000,22000," Ball's in the bunker on whole tree"
22000,24000," Still you smile like it's old routine"
24000,26000," You line it up, you play it clean"
26000,28000," Never cheat or let it roll"
28000,30000," Straight shooter who can't shoot straight"
30000,33000," You never won, never hesitate"
33000,35000," Chocolate strokes put you on your fate"
35000,37000," You tee it up, but you won't escape"
37000,40000," I watch the score climb with the sun"
40000,42000," We're way past par, but having fun"
42000,44000," Hit the water, you never run"
44000,46000," It's a magic valley where"
46000,49000," Fork put, freeze and rump that bite"
49000,51000," Still you laugh through every slice"
51000,53000," No like is no secret, right?"
53000,55000," Sponge to a fold, I swear"
55000,57000," Straight shooter who can't shoot straight"
57000,59000," You never won, never hesitate"
59000,61000," You tee it up, but you won't escape"
61000,63000," Could've kicked it out, but that's not you"
63000,66000," Counting every swing, no matter true or screwed"
66000,68000," You score card, looks like modern art"
68000,70000," But you play around with an honest heart"
70000,72000," Straight shooter who can't shoot straight"
72000,75000," You never won, never hesitate"
75000,77000," Chocolate strokes put you on your fate"
77000,79000," You tee it up, but you won't escape"
88000,90000," Still you smile through every hole"
90000,92000," A legend with a bougie soul"
92000,95000," Can't shoot straight, but it makes you whole"
95000,97000," Can't shoot straight, but it makes you whole"
117000,119000," Can't shoot straight, but it makes you whole"
