start,end,text
0,14580," Sirens scream, but I don't hear a thing Clipboards and"
14580,19040," contracts they try to bring"
19040,24840," Hands reaching out like I'm some kind of case But my answer"
24840,28400,"'s written all over my taste"
28400,35200," For sake be meant, here's a paper, your skies Five round of"
35200,38080," all, then swallow the mice"
38080,42150," D and I need just a gorgeous black BB Don't resuscitate,"
42150,43080," don't mess with me, don't"
43080,45480," fix me I won't sign your point for a very simple"
45480,64220," fee T and I me, T and I me Said debrief, pay lay, bo-oh Now"
64220,66520," it runs in this shell"
66520,72080," You can chase me down with your answers in meant Ragged"
72080,73280," tape and that has just been in"
73280,79280," my head Don't call my name like I need to be ditched"
79280,85810," Don't write geoc with your metrics enriched You've got your"
85810,88240," list and your boss and your"
88240,94240," savior plans But it'll burn a day just like where I stand"
94240,99100," D and I need just a gorgeous black BB Don't resuscitate,"
99100,101240," don't mess with me, don't"
101240,103360," fix me I won't sign your point for a very simple"
103360,114240," fee T and I need, T and I me Set me free, pray lay, bo-oh"
114240,116360," Now it runs in this shell"
116360,131730," You can chase me down with your answers in meant Ragged"
131730,135960," tape and that has just been in"
