start	end	text
8907	11569	Sirens scream, but I don't hear a thing.
13711	16734	Clipboards and contracts they try to bring.
18756	23860	Hands reaching out like I'm some kind of case.
23880	28264	But my answer's written all over my face.
28284	31607	Your statement is a paper disguise.
34090	36872	I've read of all that swallow the mice.
38067	40770	D and I need just a quart, just let me be.
41051	43533	The rest of the day, don't rest me, don't fix me.
43654	45816	I won't sign a point for you, sip on pee.
46277	48259	D and I need, D and I need.
50001	53906	Said he'd breathe, way late, oh oh.
56609	59232	Now he runs in this show.
66232	69496	You chase me down with your answers and meds.
71318	74341	Rectate men, that has just been in my head.
76703	80788	Don't call my name like I need to be fixed.
80808	84512	Don't write me off with your stat treats and tricks.
85593	89357	You've got your lists and your boss and your savior plans.
90739	94483	But it'll burn another day just like where I stand.
96235	98958	D&I needs at the court, just let me be.
99259	101702	The list has a date, don't risk it, don't fix me.
101842	103965	I won't sign your play phone, though you'll sit by fee.
104425	106408	D&I me, D&I me.
107970	111414	Set me free, free me, oh, oh.
114198	116421	Now me and Ralph beat me south.
119104	121467	Baby, oh, oh.
124012	126597	TNR just let me know.
