start,end,text
0,14000," (silence)"
14000,19840," You roll in loud like you own the place"
19840,26000," Dropping punchlines no one wants to chase"
26000,32000," Always got a story but it's full of holes"
32000,36720," Every word a show for their quilted souls"
36720,40240," Saying once again, gotta flex your grin"
40240,43840," But you never win, you never win"
43840,50000," Shutting all the time just to feel the air"
50000,56000," Never knowing where to zip it up"
56000,61600," Talking about their chains in some plastic chair"
61600,66800," Making noise but never enough"
66800,73920," Bing, hey, yeah, whoa, whoa, whoa"
73920,79840," Opinions flying faster than their cheap guitars"
79840,85840," Tried me through the room just like old cigars"
85840,91840," Pushing every bite until you break cold brews"
91840,95840," Living for attention they will always lose"
95840,98840," Spin it round and round"
98840,101840," Drink it up so loud"
101840,104840," But it all falls down"
104840,109840," It all falls down"
109840,115840," Shutting all the time just to feel the air"
115840,121840," Never knowing where to zip it up"
121840,127840," Talking about their chains in some plastic chair"
127840,134840," Making noise but never enough"
134840,136840," Hey, hey, yeah, whoa, whoa, whoa"
