start	end	text
13987	16952	You roll in loud like you own the place.
19997	22922	Dropping punchlines no one wants to chase.
26167	29031	Always got a story but it's full of holes.
32157	35522	Every word a show for their quillet souls.
36667	64918	Sayin' once again, gotta flex your grin But you never win, you never win Shoutin' all the time just to feel the air Never knowin' when to zip it up Talkin' my thirteens in some plastic chair Makin' noise but never enough
66856	89269	Hey, yeah, whoa Opinions flying faster than their cheap guitars Drive me through the room just like old cigars Pushing every button till you break or bruise
91949	94992	Living for attention they will always lose.
96073	99076	Spin it round and round.
99096	101138	Frink it up so louse.
101818	103960	But it all falls down.
105121	106923	It all falls down.
110006	114470	Shouting all the time just to feel the air.
116051	118834	Never knowing when to zip it up.
121936	126269	Chalking my 13s in some plastic chair.
127673	130682	Made the noise, but never enough.
132949	133952	Hey, hey, yeah.
134433	136620	Whoa, whoa, whoa.
