start,end,text
0,6330," Ripped up statements, stabbed on my claw Chalk you laters"
6330,9320," brat since '94"
9320,16450," Boss said save, but I need it more Broken system tickin'"
16450,18120," down the door"
18120,24460," Empty pockets and they still want more Panic sprulling"
24460,26880," every market score"
26880,35090," Grinding teabed politicians' lore Crashing dreams that I"
35090,37040," can't ignore"
37040,44780," Teabeeding teab in my 401k hole Numb the slip in my future"
44780,46040," dead soul"
46040,51630," Inflation biting right through my soul Can I retire still"
51630,54200," peeling a wall?"
54200,67320," Oh, oh, down we go Sheriff slammed my savings to the floor"
67320,72360," Pumits left as my balance reads board Bunch of dreams, yeah"
72360,76040,", they're shown the door"
76040,84710," Spamming less just isn't punk anymore We planned, we saved,"
84710,87000," we barely got by"
87000,93280," Now they tax and blame a foreign supply Chasing dollars"
93280,96200," that just flutter and die"
96200,109030," But we're too broke to even ask why Dilly deep in my 401k"
109030,109080," hole"
109080,116260," Numb the slip in my future dead soul Inflation biting right"
116260,118240," through my soul"
118240,127560," Can I retire still peeling a wall? Oh, oh, down we go"
