start	end	text
31	25920	Ripped up statements stacked on my floor Calculators frat since 94 Boss said save but I need it more Broken system ticking down the door Empty pockets and they still want more Panic spurling every market score
26828	29914	Thriving deep at politicians' lore.
31196	34382	Crashing dreams that I can't ignore.
37027	40354	Teeping deep in my 401k hole.
41456	44461	Numb the slip in my future dead soul.
46044	49090	Inflation biting right through my soul.
50217	53100	Can I retire, still feel it won't?
54662	59808	Oh, oh, down we go.
62912	65976	Sheriff slammed my savings to the floor.
67418	70421	Puppets laugh as my balance reads poor.
71923	74766	Bunch of dreams, yeah, they're shown the door.
76188	79532	Spending less just isn't punk anymore.
83022	85806	We planned, we saved, we barely got by.
87228	90172	Now they tax and blame a foreign supply.
91514	94538	Chasing dollars that just flutter and die.
96240	98944	But we're too broke to even ask why.
104952	108197	Diving deep in my 401k hole.
109338	112843	Numbers slip and my guitar gets sold.
113532	116580	In flesh, whining might fill my soul.
118165	120792	Did I retire, still feeling whole?
122597	130157	Oh, oh, damn me, girl.
