start,end,text
0,20580," (silence)"
20580,25380," P-U-N-J ain't dead, it just smells that way in bed"
25380,29680," They said it died in '79, with the Mohawk Lawlets and the"
29680,30880," Cheatbots wife"
30880,36560," Been again in '88, when the Legos came to seal its fame"
36560,41090," Plunked his deck on its bunk, stuck in the fan with a g"
41090,41980,"asket sunk"
41980,45500," Weather brought dirt to sticker trunks, still flipping"
45500,47100," friends from the bottom bunk"
47100,56780," Hey hey, long-lipped buffed, they never give up"
56780,69280," (silence)"
69280,74110," Remember when the scene got clean, sanitized with Ford R"
74110,74720,"itchie"
74720,78730," But bums survived in basement shows, and fifth-story"
78730,80140," jackets full of holes"
80140,84390," So paint your nails with gasoline, left fornik down, you"
84390,85500," know the scene"
85500,89910," The world keeps sucking more each day, so punk ain't dead,"
89910,91240," it just won't pay"
91240,95690," Punk is dead, long-lipped bunked, stuck in the van with a"
95690,96620," gas tank suck"
96620,100650," Nuggle better just dig him slunks, still flipping butts"
100650,101820," from the bottom bunk"
101820,111420," Hey hey, long-lipped buffed, they never give up"
111420,117660," (silence)"
117660,119260," Distur-gate"
131820,133820," (silence)"
