start	end	text
20568	25293	P-U-N-J ain't dead, it just smells that way in bed.
25473	30738	They said it died in 79, with the mohawk mullets and the cheap-ass wine.
31039	36304	Then again, in 88, when the Legos came to seal its fame.
36704	41629	Plunked his dad on his bunk, stuck in the fan with a gasket sunk.
42150	46955	Metal bed dirt to sticker trunks, stuffed with pink bread from the bottom bunk.
47295	50018	Hey, hey, hey, long.
49998	56633	Never give up.
69505	72068	Remember when the scene got clean?
72369	96880	Sanitized with corporate sheen But Bunk survived in basement shows And fifth-story chat, it's full of holes So paint your nails with gasoline Left Furnic down, you know the scene The world keeps sucking more each day So Bunk ain't dead, it just won't pay Bunk is dead, long live Bunk Stuffed in a vein where the gas tanks suck
96860	119357	Now go back to just diggin' slugs Stuff with big butts from the bottom bunks Hey, hey, bong this fuck Hey, hey, never give up Dis-ter-gate
