start,end,text
0,4040," One foot in the grave, one hand in my wallet The other spl"
4040,6000,"ippin' up the kite, I start it all it"
6000,20710," Every April I get mugged by mail, same old dance Different"
20710,23000," jail, they say freedom's not free"
23000,26000," But it sure gets taxed and the reaper's got a clipboard"
26000,28000," Checkin' facts, fill my W-2"
28000,32040," Ben wrote a will, both say I'm broke, both hit the pail"
32040,37000," Death and taxes and me, I'm a non-jectois of misery"
37000,40440," Can't dodge 'em, can't ghost 'em, can't ever be free I've"
40440,43000," got a date with the dirt and a fee from the Fed"
43000,47000," And I'm the lucky one, I'm not even dead"
51000,54940," Boke up with a fine for bein' alive Called it a feed-out"
54940,59000," society thrive But potholes bloom and billionaires grim"
59000,63360," While I'm payin' for wars, I'll never win My grace pre-dug"
63360,67000," in a government lot It came with a coupon and an IRS plot"
67000,71730," They'll tax my estate, then audit my ghosts Even my urn's"
71730,74000," gotta leave from the coast"
74000,79230," Death and taxes and me, stuck in internal bureaucracy Can't"
79230,84050," skip town, can't plead a fifth Can't even die without a"
84050,85000," feet of lip"
85000,89350," It's the holy trinity of guaranteed pain Rainin' red tape,"
89350,91000," embalmed in disdain"
91000,97840," You can't cheat debt, you can't cheat the text, man You can"
97840,104000," only cheat yourself, and even that gets penalized"
104000,109300," Death and taxes and me, the only truths they guarantee 'Til"
109300,113520," I rot or get reclassified I'll be billed for breathing cruc"
113520,114000,"ified"
114000,122830," So here's to the end when I'm finally free It'll still cost"
122830,124000," the fee"
124000,132000," Taxes and me"
