start	end	text
31	6092	One foot in the grave, one hand in my wallet The others flippin' up, the guy started all it
16450	19253	Every April I get mugged by mail.
19513	21916	Same old dance, different jail.
21936	24638	They say freedom's not free, but it sure gets taxed.
24678	27421	And the Reaper's got a clipboard checking facts.
27621	29964	Fill my W-2, Ben wrote a will.
30024	32746	Both say I'm broke, both fit the bill.
33027	37872	Death and taxes and me, a menage a trois of misery.
38092	40634	Can't dodge them, can't ghost them, can't ever be free.
40694	45259	I've got a date with the dirt and a fee from the Fed, and I'm the lucky one.
45239	46981	I'm not even dead.
51885	54367	Boke up with a fine for being alive.
54588	57010	Called it a feed out, society thrived.
57150	62395	But potholes bloom and billionaires grin while I'm paying for wars I'll never win.
62535	65277	My grace pre-dug in a government lot.
65297	67880	It came with a coupon and an IRS plot.
67900	70903	They'll tax my estate, then audit my ghosts.
70923	74706	Even my urns gotta leave from the coast.
74686	79771	Death and taxes and me stuck in eternal bureaucracy.
80191	85075	Can't skip town, can't plead a fifth, can't even die without a fee to live.
85315	87998	It's the holy trinity of guaranteed pain.
88278	91381	Rain and red tape, embalmed in disdain.
92702	93983	You can't cheat death.
95244	97046	You can't cheat the taxman.
97266	99988	You can only cheat yourself.
100008	104052	And even that gets penalized.
104420	106022	DEFENSE!
106042	114952	Texas and me, the only truths they guarantee, till I rot or get reclassified, I'll be billed for breathing, crucified.
115072	124443	So here's to the end, when I'm finally free, it'll still cost the fee.
124503	131912	Texas and me.
