start,end,text
0,9500," [silence]"
9500,11500," Hey! Hey!"
11500,14800," [silence]"
14800,16500," Hey! Hey!"
16500,20500," We don't need your nagging cover"
20500,23500," We're too poor, shy of superstardom"
23500,26500," No glossy photos, no billboard chart"
26500,29000," Sleeping on couches, playing basements"
29000,31500," Free minds won't bow to a corporate arch"
31500,34500," They want us clean-shaven, posing pretty"
34500,37000," Selling our souls for a ten-year plan"
37000,39500," But we'd better stink of cheap PBR"
39500,42500," Then sell our songs to a greased-up man"
42500,44500," Why isn't our souls for a flashy tour?"
44500,47500," No, we'll leave that ship at the dock"
47500,52500," Your velvet ropes and VIP rooms get f*cked right off"
52500,55000," Still not famous, still not sorry"
55000,57500," Rather bleed truth and borrow their story"
57500,60000," Yo, A&R telling us what to play"
60000,63000," We write our own rules and sing our own way"
63000,65500," Still not famous, still not sorry"
65500,68000," Rap too proud for sorry-story"
68000,70500," Keep it in a gorge, crank it 'til it bleeds"
70500,74500," Freedom's our drug, face just a disease"
74500,79000," They promise exposure, a million streams"
79000,81500," But it's just state of mind in your teenage dreams"
81500,84500," We're fine with free fans in a sweaty room"
84500,87000," Trading our fame for creative perfume"
87000,89500," No neon signs, no corporate bailout"
89500,92000," We live for the core changes in our veins"
92000,95000," If the scene goes sideways, we'll still stay true"
95000,97500," 'Cause selling us the only thing that's lame"
97500,100000," Call track for gold bars and grand illusions"
100000,102500," We laugh so hard we almost pissed"
102500,106500," We're allergic to mansions and red-guitar solos"
106500,110000," Give us scrappy real, not famous, still not sorry"
110000,112500," Rather bleed truth and borrow their story"
112500,115500," No, A&R telling us what to play"
115500,118000," We write our own rules and sing our own way"
118000,120500," Still not famous, still not sorry"
120500,123500," Rap too proud for sorry-story"
123500,126000," Keep it in a gorge, crank it 'til it bleeds"
126000,129500," Freedom's our drug, face just a disease"
129500,135500," No leather jackets in boardrooms"
135500,141000," No punched up smiles for apt campaign pains"
141000,146000," We'll stay broken, loud and restless"
146000,152000," While your stars decay in fame's chains"
152000,155000," Still not famous, still not sorry"
155000,157500," Still not famous, still not sorry"
157500,160000," We'd rather bleed truth than bother sorry"
160000,162500," No, A&R telling us what to play"
162500,165500," We write our own rules and sing our own way"
165500,168000," Still not famous, still not sorry"
168000,171000," Rap too proud for sorry-story"
171000,173500," Keep it in a gorge, crank it 'til it bleeds"
173500,179000," Freedom's our drug, face just a disease"
198000,200000," [ Silence ]"
