start,end,text
0,9760," Marching boots lining up in the street."
9760,14880," Broken glass at a three minute speech."
14880,19880," Posters peel but the slogans stay new."
19880,25960," History repeats but the shade is still true."
25960,31040," Sneakers stained with the paint on the walls."
31040,36320," Truth gets lost in a parade of calls."
36320,41320," Blank devotion dressed up for the show."
41320,45760," How much flag do you need just to know?"
45760,50760," You want red, white, and blue in your bed."
50760,55640," Tis a fact, let it cover your head."
55640,60040," Got the stars in your eye, fight on a crew."
60040,66080," Fifty shades of red, white, and blue."
66080,76240," Oh, oh, oh, oh, oh, oh."
76240,81320," Wave the banners at the mirror every day."
81320,86200," Gradually just to the comfort on display."
86200,90880," Shaded green upon the rush of being right."
90880,96360," Raps so tight you can't see any light."
96360,101640," Disalimated every anthem played."
101640,107880," Worship power like the game you made."
107880,112960," You want red, white, and blue in your bed."
112960,117880," Just a flag, let it cover your head."
117880,122400," You got the stars in your eyes, fight on a crew."
122400,127360," Fifty shades of red, white, and blue."
137880,147880," [BLANK_AUDIO]"
