start	end	text
4368	7792	Marching boots lining up in the street.
9734	13118	Broken glass at a three minute speech.
14900	17864	Posters peel but the slogans stay new.
19966	23170	History repeats but the shade is still true.
23230	29397	Sneakers stained with the paint on the walls.
31030	34637	Truth gets lost in a parade of calls.
36400	39446	Length of ocean dressed up for the show.
41409	44676	How much flag do you need just to know?
44696	49765	You want red, white, and blue in your bed.
50723	78975	Kiss up flags, let it cover your head Got the stars in your eye, fight on it grew Fifty shades of red White and blue Oh, oh, oh Oh, oh, oh Wave of banners at the mirror every day
81352	104912	Read your legions through the comfort on display Shaded credo by the rush of being right Wrapped so tight you can't see a light Disallimated every anthem played Worship power like a game you made
107913	111901	You want red, white, and blue in your bed.
113003	116870	Just a flag, but it's over your head.
117932	121860	You got the stars in your eyes, five on eight through.
122501	127170	Fifty shades of red, white, and blue.
