start,end,text
0,10000," [BLANK_AUDIO]"
30000,40000," [BLANK_AUDIO]"
60000,70000," [BLANK_AUDIO]"
90000,93740," My phone, we scroll for an hour."
93740,99840," You say you're vegan now, we want to call a flower."
99840,104480," I just want burritos, or maybe some wings."
104480,109880," Why does dinner turn to a million things?"
109880,116420," We had breakfast cold, and lunch was late."
116420,120160," They say food brings luck, but this mike brain ache."
120160,125800," Stomach's rumbling, now the clock strikes six."
125800,131120," We argue and we disagree, they can't mix."
131120,136480," You want sushi, I want fries and shakes."
136480,141600," Round and round, another bite you want to take."
141600,151600," [BLANK_AUDIO]"
