start	end	text
46589	49534	Fridge is empty, dandries are chilled.
49554	51857	One sad pickle and some diet coke.
51877	54241	We swore we'd shop but we slept instead.
54862	56966	Now we're starvin' full of dread.
57947	62915	Stomach's rumbling, now the clock strikes six.
62935	68544	We argue and we disagree, lick and mix.
68564	72951	You want sushi, I want fries and shakes.
73808	77695	Round and round, another fight you undertake.
79358	80380	Chun-Li!
81762	83104	Oh Chun-Li!
84627	85629	Chun-Li!
87071	88273	Oh Chun-Li!
89155	90938	Meet us on my phone.
91940	94264	We scroll for an hour.
94750	98977	You say you're vegan now You want a cauliflower?
99878	109735	I just want burritos Or maybe some wings Why does dinner Turn to a million things?
111297	120252	We had breakfast cold And lunch was late They say food brings luck But this might bring hate
121767	125612	Stomach's rumbling, now the clock strikes six.
126894	132542	We argue and we disagree, mic and mix.
132562	137810	You want sushi, I want flies and shakes.
137830	141615	Round and round, another bite you want to take.
143278	144559	Can we eat?
145761	147083	Oh, can we eat?
150809	152079	Oh, tell me
